"","Gamma","Balance","M.Age","M.PD.L1.MPS","M.Hemoglobin","SD.Age","SD.PD.L1.MPS","SD.Hemoglobin","Energy","M.CG","SD.CG"
"1","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"2","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"3","One",0,0.555047900741763,0.279762482709582,0.097120612153264,0.252003778549566,0.12892330449325,0.0270332470347314,0.407563636625504,0.7,0.349602949390051
"4","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654402,0.55,0.497214463005877
"5","One",0,0.532845984712093,0.0174851551693488,0.166492477977024,0.0419656000166313,0.137228970319782,0.243532580449636,0.290576833451112,0.6,0.459468291736341
"6","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429639,0.6,0.459468291736341
"7","One",0,0.532845984712093,0.0174851551693488,0.166492477977024,0.0419656000166313,0.137228970319782,0.243532580449636,0.290576833451112,0.6,0.459468291736341
"8","One",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009344,0.55,0.497214463005877
"9","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072297,0.55,0.497214463005877
"10","One",0,0.111009580148353,0.279762482709582,0.402356821777809,0.345321871754329,0.12892330449325,0.138948833151346,0.279012843721143,0.65,0.411636301174282
"11","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429639,0.6,0.459468291736341
"12","One",0,0.555047900741763,0.279762482709582,0.097120612153264,0.252003778549566,0.12892330449325,0.0270332470347314,0.407563636625504,0.7,0.349602949390051
"13","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.266964686909909,0.6,0.459468291736341
"14","One",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617779,1.08982856716765,0.217016408985777,0.74359878448898,0.55,0.497214463005877
"15","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383051,0.65,0.411636301174282
"16","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.26696468690991,0.6,0.459468291736341
"17","One",0,0.532845984712093,0.279762482709582,0.485603060766321,0.529411686261001,0.12892330449325,0.129918318049236,0.586516002203178,0.65,0.411636301174282
"18","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429638,0.6,0.459468291736341
"19","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072297,0.55,0.497214463005877
"20","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429638,0.6,0.459468291736341
"21","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383052,0.65,0.411636301174282
"22","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.26696468690991,0.6,0.459468291736341
"23","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429639,0.6,0.459468291736341
"24","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383051,0.65,0.411636301174282
"25","One",0,0.288624908385717,0.209821862032187,0.804713643555617,0.0627274304568259,0.167795455219993,0.0151759526334031,0.50194371672398,0.6,0.459468291736341
"26","One",0,0.577249816771434,0.221478632145086,0.0554974926590083,0.222563291188069,0.160185263912487,0.0403097757062798,0.378133186162642,0.7,0.349602949390051
