"","Rho","Balance","M.Age","M.PD.L1.MPS","M.Hemoglobin","SD.Age","SD.PD.L1.MPS","SD.Hemoglobin","Energy","M.CG","SD.CG"
"1","One",0,0.111009580148353,0.0116567701128993,0.0554974926590083,0.566541917974197,0.217769825354138,0.531974751597581,0.294139843381835,0.55,0.497214463005877
"2","One",0,0.111009580148353,0.0116567701128993,0.0554974926590083,0.566541917974197,0.217769825354138,0.531974751597581,0.294139843381835,0.55,0.497214463005877
"3","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"4","One",0,0.177615328237364,0.00582838505644965,0.083246238988512,0.359977360740308,0.144878325340463,0.0863463646649991,0.2457341608689,0.55,0.497214463005877
"5","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"6","One",0,0.0444038320593411,0.507069499911118,0.0277487463295043,0.337661148191456,0.688819223159726,0.162240056302364,0.338986919637499,0.6,0.459468291736341
"7","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"8","One",0,0.244221076326376,0.0174851551693489,0.13874373164752,0.102484349773104,0.155498133091557,0.241744079051374,0.253903809141644,0.75,0.263523138347365
"9","One",0,0.266422992356046,0.00582838505644965,0.0971206121532642,0.293054034885021,0.144878325340463,0.422107244557054,0.306362333943067,0.55,0.497214463005877
"10","One",0,0.111009580148353,0.31473279304828,0.221989970636033,0.168828956697455,0.310237321333719,0.150716934035904,0.337034967958802,0.6,0.459468291736341
"11","One",0,0.0444038320593411,0.30890440799183,0.06937186582376,0.0886033051327495,0.23507512090969,0.25249580374258,0.275344965203188,0.6,0.459468291736341
"12","One",0,0.42183640456374,0.833459063072297,0.221989970636033,0.0663081675959805,0.877728434531043,0.150716934035904,0.601435545578761,0.6,0.459468291736341
"13","One",0,0.155413412207694,0.0174851551693489,0.0971206121532642,0.229600715685621,0.155498133091557,0.0269280412700732,0.220113796229602,0.55,0.497214463005877
"14","One",0,0.0666057480890116,0.821802292959398,0.0277487463295038,0.470673639832716,0.886140008407575,0.178480925997253,0.5274079168351,0.65,0.411636301174282
"15","One",0,0.133211496178023,0.0407986953951474,0.235864343800784,0.236135937734151,0.123971957603879,0.0364110763650842,0.204286318722367,0.55,0.497214463005877
"16","One",0,0.42183640456374,0.833459063072297,0.221989970636033,0.0663081675959805,0.877728434531043,0.150716934035904,0.601435545578761,0.6,0.459468291736341
"17","One",0,0.0444038320593411,0.30890440799183,0.06937186582376,0.0886033051327495,0.23507512090969,0.25249580374258,0.275344965203188,0.6,0.459468291736341
"18","One",0,0.0666057480890116,0.250620557427334,0.0832462389885122,0.0601806659728265,0.266337121586746,0.238976062662662,0.283273770972825,0.6,0.459468291736341
"19","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"20","One",0,0.0444038320593411,0.507069499911118,0.0277487463295043,0.337661148191456,0.688819223159726,0.162240056302364,0.338986919637499,0.6,0.459468291736341
"21","One",0,0.177615328237364,0.00582838505644965,0.083246238988512,0.359977360740308,0.144878325340463,0.0863463646649991,0.2457341608689,0.55,0.497214463005877
"22","One",0,0.044403832059341,0.16319478158059,0.263613090130288,0.220278185039214,0.191490028118848,0.299256762338464,0.288351317448075,0.6,0.459468291736341
"23","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"24","One",0,0.133211496178023,0.0407986953951474,0.235864343800784,0.236135937734151,0.123971957603879,0.0364110763650842,0.204286318722367,0.55,0.497214463005877
"25","One",0,0.266422992356046,0.00582838505644965,0.0971206121532642,0.293054034885021,0.144878325340463,0.422107244557054,0.306362333943067,0.55,0.497214463005877
"26","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"27","One",0,0.0666057480890116,0.250620557427334,0.0832462389885122,0.0601806659728265,0.266337121586746,0.238976062662662,0.283273770972825,0.6,0.459468291736341
"28","One",0,0.111009580148353,0.31473279304828,0.221989970636033,0.168828956697455,0.310237321333719,0.150716934035904,0.337034967958802,0.6,0.459468291736341
"29","One",0,0.0888076641186821,0.297247637878931,0.0416231194942563,0.366685186363933,0.242697422643507,0.00977174748076681,0.28304969210755,0.55,0.497214463005877
"30","One",0,0.111009580148353,0.31473279304828,0.221989970636033,0.168828956697455,0.310237321333719,0.150716934035904,0.337034967958802,0.6,0.459468291736341
"31","One",0,0.044403832059341,0.16319478158059,0.263613090130288,0.220278185039214,0.191490028118848,0.299256762338464,0.288351317448075,0.6,0.459468291736341
"32","One",0,0.0888076641186821,0.297247637878931,0.0416231194942563,0.366685186363933,0.242697422643507,0.00977174748076681,0.28304969210755,0.55,0.497214463005877
"33","One",0,0.111009580148353,0.0174851551693489,0.0832462389885122,0.265037126641525,0.155498133091557,0.022870177508999,0.214865693099362,0.55,0.497214463005877
"34","One",0,0.0888076641186821,0.0524554655080466,0.083246238988512,0.331769493137147,0.176561370737716,0.319127469171569,0.238563170822451,0.55,0.497214463005877
"35","One",0,0.266422992356046,0.00582838505644965,0.0971206121532642,0.293054034885021,0.144878325340463,0.422107244557054,0.306362333943067,0.55,0.497214463005877
"36","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"37","One",0,0.177615328237364,0.00582838505644965,0.083246238988512,0.359977360740308,0.144878325340463,0.0863463646649991,0.2457341608689,0.55,0.497214463005877
"38","One",0,0.0888076641186821,0.297247637878931,0.0416231194942563,0.366685186363933,0.242697422643507,0.00977174748076681,0.28304969210755,0.55,0.497214463005877
"39","One",0,0.0666057480890116,0.192336706862838,0.13874373164752,0.0844494418505409,0.254692641765263,0.472620249512158,0.255435028919553,0.65,0.411636301174282
"40","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"41","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"42","One",0,0.111009580148353,0.31473279304828,0.221989970636033,0.168828956697455,0.310237321333719,0.150716934035904,0.337034967958802,0.6,0.459468291736341
"43","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"44","One",0,0.111009580148353,0.0116567701128993,0.0554974926590083,0.566541917974197,0.217769825354138,0.531974751597581,0.294139843381835,0.55,0.497214463005877
"45","One",0,0.0222019160296705,0.0174851551693489,0.0971206121532645,0.237091001149885,0.155498133091557,0.355037117314198,0.302382063595095,0.55,0.497214463005877
"46","One",0,0.111009580148353,0.0174851551693489,0.0832462389885122,0.265037126641525,0.155498133091557,0.022870177508999,0.214865693099362,0.55,0.497214463005877
"47","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"48","One",0,0.244221076326376,0.0174851551693489,0.13874373164752,0.102484349773104,0.155498133091557,0.241744079051374,0.253903809141644,0.75,0.263523138347365
"49","One",0,0.0444038320593411,0.30890440799183,0.06937186582376,0.0886033051327495,0.23507512090969,0.25249580374258,0.275344965203188,0.6,0.459468291736341
"50","One",0,0.0666057480890116,0.192336706862838,0.13874373164752,0.0844494418505409,0.254692641765263,0.472620249512158,0.255435028919553,0.65,0.411636301174282
"51","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"52","One",0,0.177615328237364,0.00582838505644965,0.083246238988512,0.359977360740308,0.144878325340463,0.0863463646649991,0.2457341608689,0.55,0.497214463005877
"53","One",0,0.0666057480890116,0.821802292959398,0.0277487463295038,0.470673639832716,0.886140008407575,0.178480925997253,0.5274079168351,0.65,0.411636301174282
"54","One",0,0.444038320593411,0.00582838505644965,0.152618104812273,0.160769852418336,0.144878325340463,0.0308776635219588,0.285650140891362,0.55,0.497214463005877
"55","One",0,0.266422992356046,0.00582838505644965,0.0971206121532642,0.293054034885021,0.144878325340463,0.422107244557054,0.306362333943067,0.55,0.497214463005877
"56","One",0,0.333028740445058,0.30890440799183,0.0832462389885122,0.0348163660288463,0.23507512090969,0.479543836832883,0.330146753155266,0.6,0.459468291736341
"57","One",0,0.0444038320593411,0.30890440799183,0.06937186582376,0.0886033051327495,0.23507512090969,0.25249580374258,0.275344965203188,0.6,0.459468291736341
"58","One",0,0.0444038320593411,0.507069499911118,0.0277487463295043,0.337661148191456,0.688819223159726,0.162240056302364,0.338986919637499,0.6,0.459468291736341
"59","One",0,0.0888076641186821,0.0524554655080466,0.083246238988512,0.331769493137147,0.176561370737716,0.319127469171569,0.238563170822451,0.55,0.497214463005877
"60","One",0,0.0888076641186821,0.0524554655080466,0.083246238988512,0.331769493137147,0.176561370737716,0.319127469171569,0.238563170822451,0.55,0.497214463005877
"61","One",0,0.0222019160296705,0.0174851551693489,0.0971206121532645,0.237091001149885,0.155498133091557,0.355037117314198,0.302382063595095,0.55,0.497214463005877
"62","One",0,0.266422992356046,0.00582838505644965,0.0971206121532642,0.293054034885021,0.144878325340463,0.422107244557054,0.306362333943067,0.55,0.497214463005877
"63","One",0,0.111009580148353,0.0116567701128993,0.0554974926590083,0.566541917974197,0.217769825354138,0.531974751597581,0.294139843381835,0.55,0.497214463005877
