"","Rho","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"1","One",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.350261685899693,0.210286240846568,0.678571428571429,0.372473171834246
"2","One",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.350261685899693,0.210286240846568,0.678571428571429,0.372473171834246
"3","One",0,0.110535884753241,0.362851818248537,0.0788814400474025,0.109479545433694,0.213089786641086,0.607142857142857,0.44629118765199
"4","One",0,0.221071769506482,0.217711090949122,0.723817802149802,0.165526014027681,0.177222932261782,0.535714285714286,0.498624481575437
"5","One",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.350261685899693,0.210286240846568,0.678571428571429,0.372473171834246
"6","One",0,0.165803827129862,0.0725703636497075,0.349895891421366,0.350261685899693,0.159856686871938,0.678571428571429,0.372473171834246
"7","One",0,0.0552679423766206,0.0725703636497075,0.0418330152938482,0.221945524216474,0.136705984851466,0.642857142857143,0.412710152927779
"8","One",0,0.110535884753241,0.0725703636497075,0.065719574711119,0.350261685899693,0.110844127610831,0.607142857142857,0.44629118765199
"9","One",0,0.0552679423766206,0.0725703636497075,0.193586067929565,0.350261685899693,0.124731920655235,0.571428571428571,0.474631146549323
"10","One",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.350261685899693,0.132619368389788,0.678571428571429,0.372473171834246
"11","One",0,0.110535884753241,0.362851818248537,0.0788814400474025,0.109479545433694,0.213089786641086,0.607142857142857,0.44629118765199
"12","One",0,0.221071769506482,0.362851818248537,0.0858819759451416,0.109479545433694,0.196899875004872,0.607142857142857,0.44629118765199
"13","One",0,6.30808536718839e-18,0.0725703636497075,0.108359373849764,0.350261685899693,0.104125904306537,0.535714285714286,0.498624481575437
"14","One",0,0.331607654259724,0.507992545547952,0.700652219544585,0.182273727578033,0.307364577397544,0.535714285714286,0.498624481575437
"15","One",0,0.110535884753241,0.0725703636497075,0.065719574711119,0.350261685899693,0.110844127610831,0.607142857142857,0.44629118765199
"16","One",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.350261685899693,0.210286240846568,0.678571428571429,0.372473171834246
"17","One",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.350261685899693,0.132619368389788,0.678571428571429,0.372473171834246
"18","One",0,0.221071769506482,0.362851818248537,0.0858819759451416,0.109479545433694,0.196899875004872,0.607142857142857,0.44629118765199
"19","One",0,0.110535884753241,0.0725703636497075,0.065719574711119,0.350261685899693,0.110844127610831,0.607142857142857,0.44629118765199
"20","One",0,0.110535884753241,0.0725703636497075,0.065719574711119,0.350261685899693,0.110844127610831,0.607142857142857,0.44629118765199
"21","One",0,0.221071769506482,0.0725703636497075,0.0594291621515164,0.350261685899693,0.115611162904575,0.607142857142857,0.44629118765199
"22","One",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.350261685899693,0.132619368389788,0.678571428571429,0.372473171834246
"23","One",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.350261685899693,0.210286240846568,0.678571428571429,0.372473171834246
"24","One",0,6.30808536718839e-18,0.0725703636497075,0.108359373849764,0.350261685899693,0.104125904306537,0.535714285714286,0.498624481575437
"25","One",0,0.221071769506482,0.217711090949122,0.723817802149802,0.165526014027681,0.177222932261782,0.535714285714286,0.498624481575437
"26","One",0,0.0552679423766206,0.0725703636497075,0.0418330152938482,0.221945524216474,0.136705984851466,0.642857142857143,0.412710152927779
"27","One",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.350261685899693,0.132619368389788,0.678571428571429,0.372473171834246
"28","One",0,0.221071769506482,0.0725703636497075,0.0594291621515164,0.350261685899693,0.115611162904575,0.607142857142857,0.44629118765199
