"","Method","Balance","M.Z1","M.Z2","M.Z3","SD.Z1","SD.Z2","SD.Z3","Energy","M.CG","SD.CG"
"84","MH",4,0.199817244267033,0.349575624486708,0.534852428025181,0.157987642157192,0.191994778949128,0.212851849626342,0.38657295058299,0.5,0.408248290463863
"85","MH",2,0.769296390428082,0.590627205341678,0.0178255899166843,0.196677034792121,0.458274826805479,0.0127305774589332,0.713884777082202,0.5,0.471404520791032
"86","MH",2,0.162351510966966,0.0210996978044364,0.377245442386265,0.0846509961027325,0.0428825676677111,0.438459276389758,0.234559166352564,0.5,0.471404520791032
"87","MH",2,0.499543110667586,0.245092467423709,0.381839628218607,0.00445029482497539,0.487988650415071,0.0267448224083099,0.499020213418685,0.55,0.437797517885457
"88","MH",0,0.155413412207694,0.189318247221349,0.056630259558496,0.0657435422995459,0.25609008582085,0.172343337293768,0.241600690160625,0.7,0.34960294939005
"89","MH",2,0.916661608075021,1.00738551886324,0.59716551588395,0.0685597686367857,0.0770087333425553,0.349767193630039,1.08495236676834,0.45,0.497214463005877
"90","MH",2,0.00499543110667687,0.323584610950806,0.0452408868836596,0.332695885004774,0.0285560852806597,0.303926050344489,0.232897837151587,0.55,0.437797517885457
"91","MH",2,0.242278408673779,0.0682781423777662,0.212286611363556,0.131189883622507,0.207356574613271,0.119818740591286,0.22204989180451,0.6,0.394405318873308
"92","MH",0,0.133211496178023,0.114994531414962,0.0414064554230907,0.203213687894484,0.0672829845306188,0.101145459305964,0.154544123131659,0.75,0.263523138347365
"93","MH",4,0.0337353789022275,0.10959336358412,0.0380723392913193,0.126425453448668,0.336949800372913,0.0438095550626267,0.206876935923022,0.5,0.408248290463863
"94","MH",2,0.319707590827255,0.403173212878313,0.160860348414571,0.101976602523831,0.0569614940063252,0.1782356400777,0.295488567337776,0.65,0.337474278855276
"95","MH",2,0.229789830907089,0.092783049043372,0.315078904707753,0.0407550255031359,0.3225534025184,0.00285112921030972,0.244388805544905,0.55,0.437797517885457
"96","MH",2,0.0399634488534058,0.0881278261499507,0.120527177821469,0.391159565512911,0.0885648621075565,0.039079980043186,0.207413922028337,0.65,0.337474278855276
"97","MH",0,0.111009580148353,0.0145493333027914,0.12866168453828,0.260617367303333,0.0147024173423662,0.103957659735156,0.147267183371983,0.75,0.263523138347365
"98","MH",0,0.111009580148351,0.051162825057555,0.435036647872508,0.18108669547024,0.098124952008766,0.257158321574223,0.319519210908908,0.65,0.411636301174282
"99","MH",0,0.0444038320593419,0.0281922339400771,0.0148511267634342,0.098049577719489,0.163564664962214,0.0999606825206201,0.207892284159491,0.75,0.263523138347365
"100","MH",0,5.33523842389311e-16,0.234475751174893,0.301668688942281,0.174937636249665,0.0674522390026424,0.234646079066543,0.237964666567236,0.7,0.34960294939005
"101","MH",0,0.133211496178023,0.114994531414962,0.0414064554230907,0.203213687894484,0.0672829845306188,0.101145459305964,0.154544123131659,0.75,0.263523138347365
"102","MH",0,0.044403832059341,0.0265346150267454,0.140444707716236,0.0667624070494396,0.102842302015989,0.0225103080456994,0.137930025023117,0.7,0.34960294939005
"103","MH",0,0.710461312949455,0.199541255665251,0.0702557914753359,0.17996698424833,0.164442002179587,0.267255878465833,0.406129053658308,0.6,0.459468291736341
"104","MH",2,0.107401768793531,0.17714283847669,0.153685051395974,0.155388593602657,0.309935445984695,0.0723550825283898,0.216350965819159,0.55,0.437797517885457
"105","MH",0,0.199817244267035,0.1142691250088,0.130119046494427,0.147629261032115,0.273624731801702,0.0377381926774192,0.232741583888475,0.7,0.34960294939005
"106","MH",0,0.0222019160296713,0.0144361981264332,0.00945795226690911,0.136553143641509,0.257814878573937,0.118928456601982,0.188273869830398,0.6,0.459468291736341
"107","MH",0,0.355230656474727,0.0218208100432101,0.146788476598577,0.239155568114296,0.100456586243647,0.24947084184214,0.241253668097545,0.75,0.263523138347365
"108","MH",0,0.399634488534069,0.400289633887634,0.0823398767053654,0.163810382891829,0.0538756361324779,0.25185146700396,0.298186273492859,0.75,0.263523138347365
"109","MH",0,0.310826824415387,0.496848239506936,0.150242002142668,0.0758072765992869,0.0795919043757665,0.042113433547335,0.262377443498178,0.65,0.411636301174282
"110","MH",2,0.207310390927047,0.00564135913242381,0.200369306635825,0.0728517530000562,0.0351082342343598,0.128409707824816,0.233289103746674,0.45,0.497214463005877
"111","MH",0,0.199817244267034,0.200098777531937,0.0554047681856413,0.0255571092292621,0.206987158225583,0.0983506510548123,0.220166125806946,0.55,0.497214463005877
"112","MH",0,0.222019160296704,0.0838234741949999,0.30995844598716,0.279888277274701,0.0238317694038792,0.263164495889878,0.239156460214022,0.7,0.34960294939005
"113","MH",2,0.836734710368207,0.784832890729518,0.215912329333854,0.1326790019867,0.296889436618624,0.169769481709321,0.707473922944236,0.65,0.337474278855276
